sep=;
Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064236;210.300;2;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064235;210.300;583;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064234;210.300;377;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064233;210.300;793;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064232;210.300;717;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064231;210.300;828;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064230;210.300;2342;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064229;210.300;2367;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064228;210.300;489;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064227;210.300;269;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064226;210.300;500;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064225;210.300;2238;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064224;210.300;3861;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064223;210.300;1139;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064222;210.300;46;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064221;210.300;4022;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064220;210.300;611;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064219;210.300;2236;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064218;210.300;6768;;;
